Age,Population
0,556935
1,586875
2,616611
3,645987
4,674852
5,703059
6,730472
7,756967
8,782431
9,806768
10,829896
11,851750
12,872283
13,891465
14,909280
15,925731
16,940833
17,954615
18,967118
19,978388
20,988482
21,997459
22,1005382
23,1012313
24,1018311
25,1023434
26,1027733
27,1031252
28,1034028
29,1036091
30,1037460
31,1038147
32,1038154
33,1037477
34,1036103
35,1034014
36,1031187
37,1027593
38,1023203
39,1017985
40,1011908
41,1004942
42,997060
43,988237
44,978456
45,967701
46,955966
47,943249
48,929558
49,914904
50,899308
51,882798
52,865409
53,847181
54,828162
55,808405
56,787967
57,766910
58,745301
59,723208
60,700702
61,677856
62,654744
63,631439
64,608015
65,584544
66,561097
67,537742
68,514546
69,491572
70,468880
71,446525
72,424560
73,403034
74,381990
75,361467
76,341502
77,322125
78,303363
79,285237
80,267766
81,250964
82,234840
83,219401
84,204649
85,190584
86,177203
87,164497
88,152458
89,141075
90,130333
91,120216
92,110707
93,101788
94,93437
95,85635
96,78358
97,71585
98,65293
99,59459
100,54060
